,"Graphics Card Database
Maintained by Nathan Mayer Since 2005",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,GPU Clockspeed*,Memory Clockspeed,Core Configuration*,GPU,Memory Size (MB),Buswidth (bits),Max Pixel Fillrate (MP/s),Max Texel Fillrate (MT/s),Max Shader Performance (MFLOPS),Max Bandwidth (MB/s),Vertex Proc.,"Max Vertices
(in millions)",DirectX Gen,Memory Type*,Process Size,Transistors,Bus Slot,Ext. Power,"Target Market
at Introduction","Year of
Release",Notes
Radeon (7200),"155, 166, 183","155, 166, 333(166), 366(183)",2 PP; 6 TMU; 2 ROP,R100,32-64,128,366,1098,n/a,5856,0.5,22.9,DX7,"SDR,SGRAM,DDR(TSOP)",180nm,30m,AGP4X,no,Enthusiast,2000,
Radeon LE,148,"148, 296(148)",2 PP; 6 TMU; 2 ROP,R100,32-64,128,296,888,n/a,4736,0.5,18.5,DX7,"SDR,SGRAM,DDR(TSOP)",180nm,30m,AGP4X,no,Highend,2001,
Radeon VE (7000),"166, 183","166, 183, 366(183)",1 PP; 3 TMU; 1 ROP,RV100,32-64,64,183,549,n/a,2928,0,?,DX7,"SDR,DDR(TSOP)",180nm,30m,"AGP4X,PCI",no,Mainstream,2001,
Radeon 7500,"260, 290","460(230), 500(250)",2 PP; 6 TMU; 2 ROP,RV200,64-128,128,580,1740,n/a,7360,0.5,36.3,DX7,DDR(TSOP),150nm,30m,AGP4X,no,Highend,2001,
Radeon 7500LE,250,"166, 366(183)",2 PP; 6 TMU; 2 ROP,RV200,64-128,64-128,500,1500,n/a,5856,0.5,31.3,DX7,DDR(TSOP),150nm,30m,AGP4X,no,Upper Mainstream,2001,
Radeon 8500,275,550(275),4 PP; 8 TMU; 4 ROP,R200,64-128,128,1100,2200,?,8800,2,137.5,DX8.1,DDR(TSOP/BGA),150nm,60m,AGP4X,no,Enthusiast,2001,
Radeon 8500LE,250,500(250),4 PP; 8 TMU; 4 ROP,R200,64-128,128,1000,2000,?,8000,2,125,DX8.1,DDR(TSOP/BGA),150nm,60m,AGP4X,no,Highend,2002,
Radeon 9000,250,400(200),4 PP/TMU/ROP,RV250,64-128,128,1000,1000,?,6400,1,62.5,DX8.1,DDR(TSOP),150nm,36m,"AGP4X,PCI",no,Mainstream,2002,
Radeon 9000 Pro,275,550(275),4 PP/TMU/ROP,RV250,64-128,128,1100,1100,?,8800,1,68.8,DX8.1,DDR(TSOP/BGA),150nm,36m,AGP4X,no,Upper Mainstream,2002,
Radeon 9100,250,"400(200), 500(250)",4 PP; 8 TMU; 4 ROP,R200,64-128,128,1000,2000,?,8000,2,125,DX8.1,DDR(TSOP/BGA),150nm,60m,AGP4X,no,Highend,2003,
Radeon 9100 Pro,275,550(275),4 PP; 8 TMU; 4 ROP,R200,64-128,128,1100,2200,?,8800,2,137.5,DX8.1,DDR(TSOP/BGA),150nm,60m,AGP4X,no,OEM,2003,
Radeon 9200,250,400(200),4 PP/TMU/ROP,RV280,64-128-256,128,1000,1000,?,6400,1,62.5,DX8.1,DDR(TSOP),150nm,36m,"AGP8X,PCI",no,Upper Budget,2003,
Radeon 9200LE,250,400(200),4 PP/TMU/ROP,RV280,128-256,64-128,1000,1000,?,6400,1,62.5,DX8.1,DDR(TSOP),150nm,36m,"AGP8X,PCI",no,Upper Budget,2003,
Radeon 9200SE,200,"333(166), 400(200)",4 PP/TMU/ROP,RV280,128-256,64,800,800,?,3200,1,50,DX8.1,DDR(TSOP),150nm,36m,"AGP8X,PCI",no,Budget,2003,
Radeon 9200 Pro,300,600(300),4 PP/TMU/ROP,RV280,128,128,1200,1200,?,9600,1,75,DX8.1,DDR(TSOP/BGA),150nm,36m,AGP8X,no,OEM,2003,
Radeon 9250,240,"366(183), 400(200)",4 PP/TMU/ROP,RV280,128-256,64-128,960,960,?,6400,1,60,DX8.1,DDR(TSOP),150nm,36m,"AGP8X,PCI",no,Budget mainstream,2004,
Radeon 9500,275,540(270),4 PP/TMU/ROP,R300,64-128,128-256,1100,1100,13200,17600,4,275,DX9,DDR(BGA),150nm,107m,AGP8X,4pin,Mainstream,2002,
Radeon 9500 Pro,275,540(270),8 PP/TMU/ROP,R300,128,128,2200,2200,26400,8800,4,275,DX9,DDR(BGA),150nm,107m,AGP8X,4pin,Upper Mainstream,2002,
Radeon 9550,250,400(200),4 PP/TMU/ROP,RV350LX,128-256,64-128,1000,1000,12000,6400,2,125,DX9,DDR(TSOP),130nm,75m,AGP8X,no,Budget,2004,
Radeon 9550SE,250,400(200),4 PP/TMU/ROP,RV350LX,128-256,64,1000,1000,12000,3200,2,125,DX9,DDR(TSOP),130nm,75m,AGP8X,no,Budget,2004,
